,name,fingers
0,C,0003
1,C7,0001
2,Cm,0333
3,Cm7,3333
4,Cdim,2323
5,Caug,1003
6,C6,0000
7,Cmaj7,0002
8,C9,0201
9,Db,1113
10,Db7,1112
11,Dbm,1103
12,Dbm7,4444
13,Dbdim,0101
14,Dbaug,2110
15,Db6,1111
16,Dbmaj7,1113
17,Db9,1312
18,D,2225
19,D7,2223
20,Dm,2210
21,Dm7,2213
22,Ddim,1212
23,Daug,3221
24,D6,2222
25,Dmaj7,2224
26,D9,2423
27,Eb,3331
28,Eb7,3334
29,Ebm,3321
30,Ebm7,3324
31,Ebdim,2323
32,Ebaug,2114
33,Eb6,3333
34,Ebmaj7,3330
35,Eb9,0111
36,E,4442
37,E7,1202
38,Em,0432
39,Em7,0202
40,Edim,0101
41,Eaug,1003
42,E9,1222
43,E6,1020
44,Emaj7,1302
45,F,2010
46,F7,2310
47,Fm,1013
48,Fm7,1313
49,Fdim,1212
50,Faug,2110
51,F6,2213
52,Fmaj7,2413
53,F9,2333
54,Gb,3121
55,Gb7,3424
56,Gbm,2120
57,Gbm7,2424
58,Gbdim,2323
59,Gbaug,4322
60,Gb6,3324
61,Gbmaj7,0111
62,Gb9,1101
63,G,0232
64,G7,0212
65,Gm,0231
66,Gm7,0211
67,Gdim,0101
68,Gaug,4332
69,G6,0202
70,Gmaj7,0222
71,G9,2212
72,Ab,5343
73,Ab7,1323
74,Abm,1342
75,Abm7,0322
76,Abdim,1212
77,Abaug,1003
78,Ab6,1313
79,Abmaj7,1333
80,Ab9,3323
81,A,2100
82,A7,0100
83,Am,2000
84,Am7,0000
85,Adim,2323
86,Aaug,2111
87,A6,2424
88,Amaj7,1100
89,A9,0102
90,Bb,3211
91,Bb7,1211
92,Bbm,3111
93,Bbm7,1111
94,Bbdim,0101
95,Bbaug,3221
96,Bb6,0211
97,Bbmaj7,3210
98,Bb9,1213
99,B,4322
100,B7,2322
101,Bm,4222
102,Bm7,2222
103,Bdim,1212
104,Baug,4332
105,B6,1322
106,Bmaj7,3322
107,B9,2324
